"traded_day","close"
"19680102","35.18000000000"
"19680103","35.16000000000"
"19680104","35.14000000000"
"19680105","35.14000000000"
"19680108","35.14000000000"
"19680109","35.14000000000"
"19680110","35.15000000000"
"19680111","35.17000000000"
"19680112","35.18000000000"
"19680115","35.18000000000"
"19680116","35.19000000000"
"19680117","35.20000000000"
"19680118","35.20000000000"
"19680119","35.19000000000"
"19680122","35.19000000000"
"19680123","35.19000000000"
"19680124","35.20000000000"
"19680125","35.20000000000"
"19680126","35.20000000000"
"19680129","35.19000000000"
"19680130","35.19000000000"
"19680131","35.20000000000"
"19680201","35.20000000000"
"19680202","35.20000000000"
"19680205","35.19000000000"
"19680206","35.19000000000"
"19680207","35.20000000000"
"19680208","35.19000000000"
"19680209","35.20000000000"
"19680212","35.19000000000"
"19680213","35.19000000000"
"19680214","35.20000000000"
"19680215","35.20000000000"
"19680216","35.20000000000"
"19680219","35.20000000000"
"19680220","35.20000000000"
"19680221","35.20000000000"
"19680222","35.20000000000"
"19680223","35.20000000000"
"19680226","35.20000000000"
"19680227","35.20000000000"
"19680228","35.20000000000"
"19680229","35.20000000000"
"19680301","35.20000000000"
"19680304","35.20000000000"
"19680305","35.20000000000"
"19680306","35.20000000000"
"19680307","35.20000000000"
"19680308","35.20000000000"
"19680311","35.20000000000"
"19680312","35.20000000000"
"19680313","35.20000000000"
"19680314","35.20000000000"
"19680401","37.70000000000"
"19680402","37.30000000000"
"19680403","37.60000000000"
"19680404","36.95000000000"
"19680405","37.00000000000"
"19680408","37.05000000000"
"19680409","37.50000000000"
"19680410","37.70000000000"
"19680411","38.00000000000"
"19680416","38.00000000000"
"19680417","37.80000000000"
"19680418","37.55000000000"
"19680419","37.65000000000"
"19680422","38.00000000000"
"19680423","38.40000000000"
"19680424","38.25000000000"
"19680425","38.30000000000"
"19680426","38.65000000000"
"19680429","38.75000000000"
"19680430","39.10000000000"
"19680501","39.20000000000"
"19680502","39.45000000000"
"19680503","39.10000000000"
"19680506","39.75000000000"
"19680507","39.30000000000"
"19680508","39.75000000000"
"19680509","39.70000000000"
"19680510","39.60000000000"
"19680513","39.50000000000"
"19680514","39.80000000000"
"19680515","40.25000000000"
"19680516","41.25000000000"
"19680517","41.50000000000"
"19680520","42.30000000000"
"19680521","42.40000000000"
"19680522","41.55000000000"
"19680523","41.40000000000"
"19680524","41.75000000000"
"19680527","41.50000000000"
"19680528","41.50000000000"
"19680529","41.60000000000"
"19680530","41.95000000000"
"19680531","41.95000000000"
"19680604","41.15000000000"
"19680605","41.20000000000"
"19680606","41.20000000000"
"19680607","41.25000000000"
"19680610","41.30000000000"
"19680611","41.55000000000"
"19680612","41.90000000000"
"19680613","41.30000000000"
"19680614","41.00000000000"
"19680617","40.70000000000"
"19680618","41.10000000000"
"19680619","41.40000000000"
"19680620","41.10000000000"
"19680621","41.05000000000"
"19680624","40.90000000000"
"19680625","40.95000000000"
"19680626","40.85000000000"
"19680627","40.90000000000"
"19680628","40.90000000000"
"19680701","40.80000000000"
"19680702","40.90000000000"
"19680703","41.05000000000"
"19680704","41.15000000000"
"19680705","41.00000000000"
"19680708","40.85000000000"
"19680709","39.80000000000"
"19680710","40.10000000000"
"19680711","39.10000000000"
"19680712","39.30000000000"
"19680715","39.20000000000"
"19680716","38.50000000000"
"19680717","37.75000000000"
"19680718","38.00000000000"
"19680719","38.70000000000"
"19680722","38.60000000000"
"19680723","39.00000000000"
"19680724","39.20000000000"
"19680725","38.90000000000"
"19680726","38.90000000000"
"19680729","39.10000000000"
"19680730","39.00000000000"
"19680731","38.85000000000"
"19680801","38.90000000000"
"19680802","38.85000000000"
"19680805","38.95000000000"
"19680806","38.70000000000"
"19680807","38.70000000000"
"19680808","38.45000000000"
"19680809","38.55000000000"
"19680812","38.60000000000"
"19680813","38.90000000000"
"19680814","38.95000000000"
"19680815","39.15000000000"
"19680816","39.15000000000"
"19680819","39.15000000000"
"19680820","39.55000000000"
"19680821","40.00000000000"
"19680822","39.75000000000"
"19680823","39.50000000000"
"19680826","39.50000000000"
"19680827","39.65000000000"
"19680828","39.60000000000"
"19680829","39.85000000000"
